1/04/2002,Friday,(509) 575-3571,Probation,
1/04/2002,Friday,(509) 575-6091,Human Services (Personnel),
1/04/2002,Friday,(509) 575-6184,City Attorney,
1/04/2002,Friday,(509) 965-2405,Private Alderwood Phone Number 20,
1/04/2002,Friday,(509) 965-2405,Private Alderwood Phone Number 20,
1/05/2002,Saturday,,,
1/06/2002,Sunday,41 041 410 67 08,Swiss Number #1,
1/07/2002,Monday,(509) 575-5111,Receptionist/Information,
1/07/2002,Monday,(509) 965-4951,Starbuck's Coffee Shop 3,
1/07/2002,Monday,(509) 575-6038,City Clerk,
1/07/2002,Monday,(509) 575-5111,Receptionist/Information,
1/07/2002,Monday,(509) 575-6091,Human Services (Personnel),
1/07/2002,Monday,(509) 575-5111,Receptionist/Information,
1/07/2002,Monday,(509) 575-6091,Human Services (Personnel),
1/07/2002,Monday,(509) 248-3854,Arctic Circle 1,
1/07/2002,Monday,(509) 575-6091,Human Services (Personnel),
1/07/2002,Monday,(509) 575-5111,Receptionist/Information,
1/07/2002,Monday,(509) 575-6091,Human Services (Personnel),
1/07/2002,Monday,(509) 575-6184,City Attorney,
1/07/2002,Monday,(509) 575-6184,City Attorney,
1/08/2002,Tuesday,(509) 965-4951,Starbuck's Coffee Shop 3,
1/08/2002,Tuesday,(509) 575-5111,Receptionist/Information,
1/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),
1/08/2002,Tuesday,(509) 575-6184,City Attorney,
1/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),
1/08/2002,Tuesday,(509) 575-6184,City Attorney,
1/08/2002,Tuesday,(509) 575-6091,Human Services (Personnel),
1/09/2002,Wednesday,(509) 575-6201,Police Patrol,
1/10/2002,Thursday,(509) 575-6184,City Attorney,
1/10/2002,Thursday,(509) 453-5589,Crossroads Donuts,
1/11/2002,Friday,(509) 575-3571,Probation,
1/11/2002,Friday,(509) 575-5111,Receptionist/Information,
1/11/2002,Friday,(509) 575-6021,Parks and Recreation,
1/12/2002,Saturday,41 041 242 16 16,Swiss Number #2,
1/13/2002,Sunday,,,
1/14/2002,Monday,(509) 453-3806,Private Alderwood Phone Number 19,
1/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,
1/15/2002,Tuesday,(509) 575-5111,Receptionist/Information,
1/15/2002,Tuesday,(509) 575-6114,Community and Economic Development,
1/15/2002,Tuesday,(509) 575-6184,City Attorney,
